City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Mwingi,-0.9344,38.0601,81.68,40.0,67.0,11.99,KE,1627036471.0
Bhag,29.0415,67.8239,110.82,17.0,2.0,5.23,PK,1627036473.0
Saint George,37.1041,-113.5841,76.62,82.0,1.0,3.0,US,1627036212.0
Arraial do Cabo,-22.9661,-42.0278,58.86,94.0,40.0,2.3,BR,1627036476.0
Aklavik,68.2191,-135.0107,52.52,92.0,32.0,10.6,CA,1627036477.0
Lebu,-37.6167,-73.65,50.83,91.0,100.0,14.9,CL,1627036478.0
Ushuaia,-54.8,-68.3,38.86,70.0,75.0,3.44,AR,1627036372.0
Mataura,-46.1927,168.8643,46.47,94.0,54.0,3.29,NZ,1627036481.0
Hithadhoo,-0.6,73.0833,82.02,77.0,99.0,16.87,MV,1627036475.0
Shelburne,44.0787,-80.2041,56.75,85.0,35.0,3.58,CA,1627036212.0
Kununurra,-15.7667,128.7333,75.18,43.0,11.0,5.75,AU,1627036485.0
Severo-Kuril'sk,50.6789,156.125,53.26,95.0,99.0,5.57,RU,1627036487.0
Nikolskoye,59.7035,30.7861,67.89,49.0,81.0,9.48,RU,1627036488.0
Rikitea,-23.1203,-134.9692,73.06,79.0,16.0,19.17,PF,1627036489.0
George Town,5.4112,100.3354,88.9,70.0,20.0,6.91,MY,1627036491.0
Punta Arenas,-53.15,-70.9167,35.71,87.0,40.0,17.27,CL,1627036452.0
Upernavik,72.7868,-56.1549,40.05,97.0,100.0,7.65,GL,1627036494.0
Mar del Plata,-38.0023,-57.5575,55.0,71.0,83.0,10.0,AR,1627036495.0
Qaanaaq,77.484,-69.3632,39.47,70.0,22.0,5.01,GL,1627036497.0
Castro,-24.7911,-50.0119,46.33,77.0,0.0,3.44,BR,1627036498.0
Bud,39.447,-86.1758,68.34,95.0,43.0,3.87,US,1627036500.0
Zhigansk,66.7697,123.3711,67.19,56.0,100.0,6.04,RU,1627036501.0
Henties Bay,-22.116,14.2845,78.3,22.0,0.0,7.11,NA,1627036503.0
Cape Town,-33.9258,18.4232,61.11,38.0,0.0,3.44,ZA,1627036383.0
Cockburn Town,21.4612,-71.1419,81.84,80.0,99.0,18.95,TC,1627036505.0
Matara,5.9485,80.5353,80.4,85.0,85.0,13.06,LK,1627036508.0
East London,-33.0153,27.9116,58.14,62.0,20.0,19.57,ZA,1627036509.0
Comodoro Rivadavia,-45.8667,-67.5,44.46,49.0,0.0,20.71,AR,1627036380.0
Batagay,67.6333,134.6333,68.92,49.0,50.0,4.09,RU,1627036512.0
Lompoc,34.6391,-120.4579,60.48,89.0,90.0,0.0,US,1627036348.0
Bathsheba,13.2167,-59.5167,81.21,83.0,20.0,18.41,BB,1627036516.0
Cabo San Lucas,22.8909,-109.9124,81.61,79.0,0.0,1.99,MX,1627036518.0
Saskylakh,71.9167,114.0833,64.26,68.0,100.0,2.77,RU,1627036520.0
Saint-Louis,16.3333,-15.0,80.24,46.0,5.0,9.53,SN,1627036522.0
Simao,22.7886,100.9748,73.69,93.0,95.0,1.12,CN,1627036523.0
Narrabri,-30.3167,149.7833,55.53,82.0,91.0,10.36,AU,1627036525.0
Busselton,-33.65,115.3333,51.08,61.0,97.0,16.42,AU,1627036528.0
Zverinogolovskoye,54.4586,64.8542,91.85,36.0,66.0,7.87,RU,1627036529.0
Awjilah,29.1081,21.2869,93.04,34.0,3.0,9.8,LY,1627036531.0
Kahului,20.8947,-156.47,76.84,88.0,20.0,17.27,US,1627036391.0
Bredasdorp,-34.5322,20.0403,56.52,54.0,3.0,11.5,ZA,1627036533.0
Iqaluit,63.7506,-68.5145,51.53,76.0,75.0,5.01,CA,1627036535.0
Barrow,71.2906,-156.7887,35.62,93.0,90.0,12.66,US,1627036536.0
Yulara,-25.2406,130.9889,60.64,31.0,2.0,5.75,AU,1627036538.0
Nelson Bay,-32.7167,152.15,57.99,88.0,72.0,8.3,AU,1627036539.0
Bluff,-46.6,168.3333,46.8,81.0,90.0,12.62,NZ,1627036541.0
Terrace,54.5163,-128.6035,55.42,87.0,90.0,3.44,CA,1627036281.0
Nanortalik,60.1432,-45.2371,42.8,89.0,71.0,11.01,GL,1627036543.0
Cidreira,-30.1811,-50.2056,56.8,84.0,9.0,6.67,BR,1627036545.0
Souillac,-20.5167,57.5167,77.38,61.0,75.0,17.27,MU,1627036546.0
Alyangula,-13.8483,136.4192,73.27,73.0,16.0,3.44,AU,1627036548.0
Kavaratti,10.5669,72.642,82.15,83.0,100.0,21.12,IN,1627036549.0
Hasaki,35.7333,140.8333,79.29,81.0,30.0,8.66,JP,1627036551.0
Inta,66.0317,60.1659,64.87,37.0,58.0,8.84,RU,1627036552.0
Tuktoyaktuk,69.4541,-133.0374,42.87,83.0,72.0,13.78,CA,1627036554.0
Hobart,-42.8794,147.3294,50.25,68.0,20.0,4.0,AU,1627036391.0
Gizo Government Station,-8.103,156.8419,81.79,78.0,84.0,3.67,SB,1627036556.0
Bethel,41.3712,-73.414,65.91,86.0,1.0,4.61,US,1627036558.0
Atambua,-9.1061,124.8925,69.96,74.0,3.0,3.89,ID,1627036559.0
Yellowknife,62.456,-114.3525,58.32,100.0,90.0,5.75,CA,1627036321.0
Albany,42.6001,-73.9662,62.37,88.0,42.0,4.23,US,1627036539.0
Batagay-Alyta,67.8006,130.4114,70.0,51.0,84.0,3.83,RU,1627036563.0
Dikson,73.5069,80.5464,38.82,90.0,100.0,12.24,RU,1627036387.0
Aligoodarz,33.4006,49.6949,95.54,11.0,1.0,18.92,IR,1627036567.0
Ruteng,-8.6136,120.4721,61.34,90.0,34.0,2.53,ID,1627036569.0
Mīnāb,27.1467,57.0801,101.7,40.0,0.0,11.97,IR,1627036570.0
Talnakh,69.4865,88.3972,64.4,39.0,93.0,7.0,RU,1627036572.0
Vila Franca do Campo,37.7167,-25.4333,70.21,67.0,70.0,4.65,PT,1627036573.0
Okara,30.8081,73.4458,101.12,33.0,48.0,10.54,PK,1627036575.0
Gravdal,68.1214,13.5031,51.69,82.0,75.0,8.05,NO,1627036576.0
Sioux Lookout,50.1001,-91.917,66.58,94.0,90.0,4.61,CA,1627036578.0
Vaini,-21.2,-175.2,73.56,94.0,40.0,5.75,TO,1627036579.0
São Filipe,14.8961,-24.4956,73.09,77.0,15.0,9.55,CV,1627036581.0
Isabela,6.7085,121.9711,84.25,88.0,71.0,7.09,PH,1627036582.0
Tautira,-17.7333,-149.15,71.62,69.0,7.0,12.06,PF,1627036583.0
Kapaa,22.0752,-159.319,75.11,83.0,44.0,16.13,US,1627036586.0
Kontagora,10.3999,5.4695,76.87,78.0,100.0,7.52,NG,1627036588.0
Lithakia,37.7167,20.8333,87.17,62.0,20.0,6.91,GR,1627036589.0
Tasiilaq,65.6145,-37.6368,41.16,97.0,100.0,0.72,GL,1627036591.0
Vredendal,-31.6683,18.5012,60.08,31.0,0.0,17.98,ZA,1627036592.0
Esperance,-33.8667,121.9,51.64,70.0,91.0,27.69,AU,1627036594.0
Coquimbo,-29.9533,-71.3436,49.73,93.0,90.0,4.61,CL,1627036595.0
Portland,45.5234,-122.6762,60.78,76.0,1.0,1.99,US,1627035913.0
Saint Paul Harbor,57.79,-152.4072,52.23,98.0,100.0,17.65,US,1627036598.0
Puerto Ayora,-0.7393,-90.3518,71.55,84.0,93.0,8.01,EC,1627036599.0
Atuona,-9.8,-139.0333,76.68,76.0,64.0,10.42,PF,1627036601.0
Deputatsky,69.3,139.9,58.69,60.0,41.0,6.11,RU,1627036602.0
Dunn,44.95,-91.8835,71.94,97.0,29.0,5.97,US,1627036604.0
Haines Junction,60.7522,-137.5108,39.15,87.0,17.0,0.0,CA,1627036605.0
Torbay,47.6666,-52.7314,53.76,99.0,90.0,5.75,CA,1627036607.0
Avarua,-21.2078,-159.775,73.45,94.0,75.0,6.91,CK,1627036443.0
Saint-Cyr-sur-Loire,47.4,0.6667,87.98,48.0,0.0,14.97,FR,1627036609.0
Araouane,18.9048,-3.5265,100.74,28.0,61.0,11.52,ML,1627036611.0
Taraz,42.9,71.3667,95.41,13.0,0.0,6.71,KZ,1627036612.0
Biltine,14.5333,20.9167,87.1,47.0,28.0,9.6,TD,1627036614.0
New Norfolk,-42.7826,147.0587,49.91,64.0,50.0,3.0,AU,1627036615.0
Altay,47.8667,88.1167,88.2,27.0,29.0,9.42,CN,1627036617.0
Saint-Philippe,-21.3585,55.7679,76.55,70.0,9.0,12.75,RE,1627036618.0
Kimbe,-5.5502,150.1429,76.68,94.0,100.0,4.34,PG,1627036620.0
Fairbanks,64.8378,-147.7164,64.4,77.0,90.0,0.0,US,1627036514.0
Bowen,-20.0167,148.2333,68.22,80.0,76.0,10.07,AU,1627036624.0
Mezen',65.8522,44.24,50.92,59.0,100.0,10.49,RU,1627036625.0
Soubre,5.7856,-6.6083,74.25,91.0,100.0,3.49,CI,1627036627.0
Azogues,-2.7333,-78.8333,48.15,94.0,100.0,3.78,EC,1627036501.0
Ostrovnoy,68.0531,39.5131,44.64,90.0,95.0,19.89,RU,1627036629.0
Jalu,29.0331,21.5482,93.74,33.0,4.0,10.02,LY,1627036631.0
College,64.8569,-147.8028,64.38,76.0,75.0,0.0,US,1627036541.0
Isangel,-19.55,169.2667,74.79,88.0,22.0,5.46,VU,1627036634.0
Vytegra,61.0064,36.4481,61.9,58.0,60.0,12.66,RU,1627036635.0
Lavrentiya,65.5833,-171.0,42.17,84.0,100.0,3.22,RU,1627036637.0
Port Alfred,-33.5906,26.891,54.9,63.0,95.0,12.77,ZA,1627036638.0
Bereda,43.2686,-7.5406,69.15,70.0,69.0,7.7,ES,1627036640.0
Jipijapa,-1.3333,-80.5833,66.88,93.0,94.0,2.13,EC,1627036641.0
Hermanus,-34.4187,19.2345,58.89,57.0,1.0,16.26,ZA,1627036643.0
Pevek,69.7008,170.3133,44.8,67.0,4.0,8.03,RU,1627036644.0
Sault Ste. Marie,46.5168,-84.3333,59.9,91.0,1.0,4.61,CA,1627036646.0
Mount Gambier,-37.8333,140.7667,46.31,93.0,90.0,11.5,AU,1627036647.0
Kruisfontein,-34.0033,24.7314,48.88,66.0,87.0,4.27,ZA,1627036649.0
Menongue,-14.6585,17.691,75.92,11.0,87.0,8.72,AO,1627036650.0
Ifakara,-8.1333,36.6833,86.4,34.0,29.0,6.46,TZ,1627036653.0
Saint-François,46.4154,3.9054,84.47,52.0,0.0,9.22,FR,1627036654.0
Hilo,19.7297,-155.09,73.13,94.0,90.0,3.44,US,1627036620.0
Yazoo City,32.8551,-90.4056,77.7,95.0,29.0,4.54,US,1627036657.0
Hong Kong,22.2855,114.1577,91.45,75.0,32.0,1.99,HK,1627036635.0
Thompson,55.7435,-97.8558,69.96,83.0,90.0,6.91,CA,1627036660.0
Irbit,57.6705,63.071,72.99,51.0,96.0,4.63,RU,1627036661.0
Tilichiki,60.4667,166.1,47.7,96.0,66.0,5.08,RU,1627036663.0
Port Elizabeth,-33.918,25.5701,53.89,58.0,90.0,6.91,ZA,1627036664.0
Ryl'sk,51.5655,34.6822,74.57,43.0,4.0,10.38,RU,1627036392.0
Aitape,-3.1374,142.3475,79.03,89.0,85.0,8.59,PG,1627036667.0
Asău,46.4333,26.4,76.95,48.0,38.0,4.85,RO,1627036669.0
Hull,53.7446,-0.3353,67.06,82.0,75.0,4.61,GB,1627036570.0
Davila,18.4726,120.5763,78.78,86.0,100.0,23.4,PH,1627036671.0
Cape Coast,5.1053,-1.2466,78.4,77.0,91.0,12.24,GH,1627036675.0
Butaritari,3.0707,172.7902,82.87,79.0,53.0,16.15,KI,1627036677.0
Jamestown,42.097,-79.2353,61.72,93.0,90.0,1.59,US,1627036524.0
Ponta do Sol,32.6667,-17.1,79.72,69.0,8.0,3.71,PT,1627036679.0
Mahébourg,-20.4081,57.7,77.29,61.0,75.0,17.27,MU,1627036681.0
Rocha,-34.4833,-54.3333,50.31,76.0,56.0,7.52,UY,1627036682.0
Paraná,-31.732,-60.5238,55.54,86.0,23.0,8.3,AR,1627036684.0
Codrington,-38.2667,141.9667,47.39,83.0,99.0,13.82,AU,1627036685.0
Naberera,-4.2,36.9333,68.23,53.0,88.0,11.48,TZ,1627036687.0
Havelock,34.8791,-76.9013,77.94,85.0,20.0,4.61,US,1627036628.0
Magdalena,14.1999,121.429,80.24,92.0,100.0,11.27,PH,1627036690.0
Tuatapere,-46.1333,167.6833,46.81,89.0,88.0,6.46,NZ,1627036691.0
Sāyla,22.55,71.4667,94.89,46.0,100.0,16.02,IN,1627036693.0
Kitimat,54.0524,-128.6534,55.9,95.0,100.0,1.23,CA,1627036694.0
Ust-Nera,64.5667,143.2,58.23,85.0,91.0,3.02,RU,1627036696.0
Sayansk,54.1088,102.1648,72.55,49.0,33.0,7.96,RU,1627036429.0
Chui,-33.6971,-53.4616,49.42,81.0,77.0,6.49,UY,1627036698.0
Matagami,49.7502,-77.6328,44.71,93.0,1.0,3.44,CA,1627036700.0
Leh,34.1667,77.5833,73.56,28.0,71.0,6.67,IN,1627036701.0
Khatanga,71.9667,102.5,58.28,85.0,100.0,9.26,RU,1627036703.0
San Ramon,37.7799,-121.978,59.43,85.0,1.0,1.01,US,1627036661.0
Blagoveshchenka,52.8333,79.8667,75.38,57.0,100.0,6.93,RU,1627036705.0
Lata,40.1629,-8.3327,79.48,49.0,99.0,6.73,PT,1627036707.0
Dingle,10.9995,122.6711,79.77,76.0,100.0,12.35,PH,1627036708.0
Umluj,25.0213,37.2685,90.79,54.0,6.0,13.87,SA,1627036710.0
Provideniya,64.3833,-173.3,46.92,77.0,80.0,1.97,RU,1627036711.0
Luena,-11.7833,19.9167,78.01,15.0,36.0,9.89,AO,1627036714.0
Carnarvon,-24.8667,113.6333,66.27,66.0,40.0,16.11,AU,1627036715.0
Ilulissat,69.2167,-51.1,44.62,87.0,90.0,4.61,GL,1627036717.0
Flinders,-34.5833,150.8552,54.81,87.0,100.0,1.01,AU,1627036718.0
Herat Province,34.5,62.0,95.59,10.0,0.0,16.82,AF,1627036720.0
Te Anau,-45.4167,167.7167,41.74,93.0,81.0,2.77,NZ,1627036721.0
Bayan,46.0833,127.4,80.51,74.0,8.0,7.74,CN,1627036723.0
Mogadishu,2.0371,45.3438,82.27,61.0,75.0,21.85,SO,1627036724.0
Kerman,30.2832,57.0788,93.06,13.0,40.0,4.61,IR,1627036726.0
Tamiahua,21.2667,-97.45,76.26,91.0,5.0,2.17,MX,1627036729.0
Poshekhon'ye,58.4993,39.1353,64.89,61.0,51.0,12.17,RU,1627036730.0
High Level,58.5169,-117.136,60.91,88.0,20.0,9.22,CA,1627036731.0
Zaysan,47.4667,84.8667,87.58,28.0,0.0,16.11,KZ,1627036733.0
Faya,18.3851,42.4509,62.71,74.0,100.0,6.13,SA,1627036734.0
Kirakira,-10.4544,161.9205,79.09,87.0,75.0,7.67,SB,1627036737.0
Lakes Entrance,-37.8811,147.981,48.18,79.0,94.0,6.93,AU,1627036740.0
Saint-Michel-des-Saints,46.6834,-73.9159,56.17,83.0,95.0,3.06,CA,1627036657.0
Rio Grande,-32.035,-52.0986,47.95,86.0,62.0,8.32,BR,1627036742.0
Bilma,18.6853,12.9164,99.95,26.0,20.0,9.44,NE,1627036744.0
Narsaq,60.9167,-46.05,46.62,88.0,94.0,5.77,GL,1627036748.0
Buraidah,26.326,43.975,109.85,7.0,1.0,10.87,SA,1627036482.0
Gunib,42.3876,46.9651,74.88,69.0,35.0,8.16,RU,1627036750.0
Lovozero,68.005,35.0117,44.64,83.0,100.0,23.64,RU,1627036752.0
Tiksi,71.6872,128.8694,43.2,75.0,100.0,3.13,RU,1627036753.0
Bengkulu,-3.8004,102.2655,80.82,76.0,35.0,3.53,ID,1627036755.0
North Myrtle Beach,33.816,-78.68,75.38,98.0,75.0,4.61,US,1627036757.0
Pierre,44.3683,-100.351,76.98,71.0,1.0,6.91,US,1627036759.0
Westport,41.1415,-73.3579,68.99,75.0,1.0,1.01,US,1627036727.0
Svetogorsk,61.1121,28.8632,69.13,43.0,76.0,10.0,RU,1627036762.0
Tazovsky,67.4667,78.7,58.6,79.0,100.0,16.44,RU,1627036764.0
Hay River,60.8156,-115.7999,58.98,94.0,90.0,9.22,CA,1627036536.0
Manta,-0.95,-80.7333,70.29,87.0,98.0,3.47,EC,1627036766.0
Caramay,10.1815,119.236,83.97,72.0,100.0,7.56,PH,1627036768.0
Kloulklubed,7.0419,134.2556,82.9,73.0,100.0,11.12,PW,1627036769.0
Hofn,64.2539,-15.2082,53.62,94.0,90.0,3.44,IS,1627036772.0
San Quintín,30.4833,-115.95,67.86,90.0,67.0,5.82,MX,1627036773.0
Saldanha,-33.0117,17.9442,57.25,49.0,0.0,2.44,ZA,1627036775.0
Airai,-8.9266,125.4092,55.89,74.0,7.0,2.59,TL,1627036778.0
Leningradskiy,69.3833,178.4167,33.58,94.0,18.0,9.17,RU,1627036779.0
Aswān,24.0934,32.907,106.9,15.0,0.0,11.5,EG,1627036637.0
Tefé,-3.3542,-64.7114,74.44,82.0,90.0,1.39,BR,1627036782.0
Madang,-5.2246,145.7966,77.5,91.0,99.0,1.45,PG,1627036783.0
Korla,41.7597,86.1469,97.72,15.0,83.0,10.58,CN,1627036785.0
Ambilobe,-13.2,49.05,89.17,23.0,7.0,6.89,MG,1627036786.0
Oranjemund,-28.55,16.4333,65.26,25.0,0.0,21.16,NA,1627036788.0
Lorengau,-2.0226,147.2712,81.68,81.0,63.0,8.37,PG,1627036789.0
San Vicente,-26.6167,-54.1333,50.99,55.0,9.0,2.84,AR,1627036791.0
Bambous Virieux,-20.3428,57.7575,77.25,61.0,75.0,17.27,MU,1627036792.0
Phalaborwa,-23.943,31.1411,76.28,25.0,0.0,12.06,ZA,1627036793.0
Luz,-19.8014,-45.6856,57.83,70.0,0.0,2.21,BR,1627036795.0
Kaitangata,-46.2817,169.8464,44.92,78.0,30.0,5.66,NZ,1627036796.0
Vardø,70.3705,31.1107,48.4,76.0,75.0,26.46,NO,1627036798.0
Arrifes,37.7667,-25.7,68.25,73.0,20.0,13.8,PT,1627036799.0
Lodeynoye Pole,60.726,33.5531,62.06,56.0,74.0,7.9,RU,1627036801.0
Kudahuvadhoo,2.6708,72.8944,82.53,75.0,93.0,11.83,MV,1627036803.0
Ati,13.2154,18.3353,87.42,46.0,46.0,7.49,TD,1627036805.0
Warri,5.5167,5.75,82.65,66.0,87.0,10.16,NG,1627036806.0
Imbituba,-28.24,-48.6703,57.09,68.0,19.0,11.01,BR,1627036809.0
Banda Aceh,5.5577,95.3222,84.54,73.0,100.0,15.55,ID,1627036810.0
Valley City,46.9233,-98.0032,77.52,100.0,75.0,9.22,US,1627036812.0
Dalnerechensk,45.9339,133.7225,84.06,63.0,36.0,3.27,RU,1627036814.0
Brae,60.3964,-1.353,53.51,70.0,11.0,8.23,GB,1627036816.0
Vila Velha,-20.3297,-40.2925,64.35,94.0,75.0,3.44,BR,1627036817.0
Meulaboh,4.1363,96.1285,83.05,73.0,98.0,5.44,ID,1627036819.0
Walvis Bay,-22.9575,14.5053,86.95,4.0,0.0,19.57,NA,1627036820.0
Vila,42.0304,-8.1588,64.74,84.0,56.0,10.65,PT,1627036822.0
Maniitsoq,65.4167,-52.9,40.28,96.0,100.0,10.02,GL,1627036823.0
Berezovyy,51.6667,135.7,74.77,97.0,56.0,3.8,RU,1627036825.0
Mareeba,-17.0,145.4333,65.12,92.0,18.0,1.21,AU,1627036826.0
Laguna,38.421,-121.4238,75.22,69.0,1.0,8.05,US,1627036828.0
Miyazu,35.5333,135.1833,76.53,89.0,79.0,4.05,JP,1627036829.0
Izhma,65.0083,53.9113,59.4,69.0,99.0,6.08,RU,1627036831.0
Zarubino,42.63,131.0922,76.86,89.0,100.0,5.73,RU,1627036832.0
Myitkyina,25.3833,97.4,81.64,94.0,73.0,2.26,MM,1627036833.0
Oussouye,12.485,-16.5469,86.18,67.0,98.0,11.83,SN,1627036835.0
Verāval,20.9,70.3667,84.34,83.0,98.0,19.22,IN,1627036836.0
Pudozh,61.8099,36.5345,62.67,45.0,96.0,8.46,RU,1627036838.0
Norman Wells,65.282,-126.8329,59.04,88.0,75.0,14.97,CA,1627036839.0
Olafsvik,64.8945,-23.7142,52.11,97.0,100.0,9.82,IS,1627036841.0
Los Llanos de Aridane,28.6585,-17.9182,71.35,80.0,20.0,18.41,ES,1627036842.0
Ahipara,-35.1667,173.1667,51.3,84.0,7.0,4.88,NZ,1627036844.0
Freeport,40.6576,-73.5832,69.78,75.0,1.0,1.01,US,1627036832.0
Solnechnyy,50.7214,136.6319,78.53,81.0,47.0,5.23,RU,1627036847.0
Great Falls,47.5002,-111.3008,65.41,49.0,1.0,6.91,US,1627036848.0
Wonthaggi,-38.6044,145.5913,49.71,84.0,100.0,9.71,AU,1627036852.0
Poroshkovo,48.6683,22.7533,76.44,56.0,32.0,1.45,UA,1627036854.0
Kathmandu,27.7167,85.3167,80.82,74.0,75.0,6.91,NP,1627036599.0
Pacific Grove,36.6177,-121.9166,57.31,89.0,90.0,1.01,US,1627036856.0
Ugra,54.7777,34.3267,72.27,45.0,28.0,10.85,RU,1627036858.0
Sept-Îles,50.2001,-66.3821,63.12,72.0,75.0,6.91,CA,1627036859.0
Ogbomosho,8.133,4.25,80.78,81.0,100.0,6.53,NG,1627036861.0
Atar,20.5169,-13.0499,92.53,26.0,2.0,4.85,MR,1627036862.0
Hobyo,5.3505,48.5268,80.62,68.0,94.0,34.76,SO,1627036864.0
Chokurdakh,70.6333,147.9167,44.8,66.0,3.0,12.24,RU,1627036865.0
Lagoa,39.05,-27.9833,69.28,89.0,94.0,14.0,PT,1627036867.0
Vorotynets,56.0603,45.8633,71.15,44.0,51.0,12.5,RU,1627036868.0
Mulegé,26.8833,-111.9833,86.02,54.0,50.0,3.04,MX,1627036870.0
Kathu,7.9178,98.3332,88.7,69.0,99.0,16.58,TH,1627036871.0
Quelimane,-17.8786,36.8883,78.75,69.0,75.0,13.8,MZ,1627036873.0
Mae Tha,18.4646,99.1403,85.82,78.0,99.0,6.06,TH,1627036874.0
Payo,-3.7508,103.6372,78.21,88.0,57.0,3.24,ID,1627036876.0
Huarmey,-10.0681,-78.1522,62.82,87.0,64.0,8.61,PE,1627036877.0
Washington,47.5001,-120.5015,63.09,48.0,45.0,5.82,US,1627036878.0
Conner,17.7964,121.3275,79.41,86.0,100.0,3.65,PH,1627036880.0
Tura,25.5198,90.2201,78.01,90.0,83.0,9.33,IN,1627036809.0
Gravelbourg,49.8834,-106.5512,53.87,58.0,14.0,6.91,CA,1627036883.0
Lipin Bor,60.2622,37.9763,61.86,64.0,89.0,11.1,RU,1627036884.0
Hokitika,-42.7167,170.9667,42.8,86.0,25.0,4.27,NZ,1627036886.0
Katsuura,35.1333,140.3,84.31,85.0,17.0,7.58,JP,1627036887.0
Usinsk,65.9939,57.5281,63.37,47.0,86.0,14.52,RU,1627036889.0
Oistins,13.0667,-59.5333,80.69,83.0,20.0,18.41,BB,1627036890.0
Türkan,40.3639,50.215,86.18,66.0,20.0,29.93,AZ,1627036892.0
Sangar,63.9242,127.4739,67.87,67.0,100.0,0.69,RU,1627036893.0
Clyde River,70.4692,-68.5914,34.03,93.0,90.0,20.71,CA,1627036895.0
Raudeberg,61.9875,5.1352,70.47,80.0,1.0,24.29,NO,1627036896.0
Paamiut,61.994,-49.6678,41.5,93.0,100.0,6.33,GL,1627036898.0
Ndélé,8.4109,20.6473,83.57,60.0,94.0,5.53,CF,1627036899.0
Ibrā’,22.6906,58.5334,102.97,27.0,0.0,6.76,OM,1627036705.0
